"Agency","Route","Direction","Service Key","Language","Original StopID / PlaceID","Printed Stop ID","Printed Name / Description"
"","19","Inbound","*","","12786","12786","SW 3rd & Salmon"
"","31","Inbound","*","","3858","3858","McLoughlin & 17th"
"","31","Inbound","*","","8223","8223","Milwaukie Transit Center"
"","99","*","*","","8223","8223","Milwaukie Transit Center"
"","31","Outbound","*","","12735","12735","85th & Monterey"
"","31","Inbound","*","","12736","12736","85th & Monterey"
"","32","Inbound","*","","3859","3859","McLoughlin & 17th"
"","32","Outbound","*","","3859","3859","McLoughlin & 17th"
"","33","Inbound","*","","3858","3858","McLoughlin & 17th"
"","33","Inbound","*","","8223","8223","Milwaukie Transit Center"
"","35","Outbound","*","","6339","6339","Willamette & Hood"
"","35","Outbound","*","","12779","12779","SW 3rd & Pine"
"","37","Outbound","*","","11776","11776","Reese & Boones Ferry"
"","37","Inbound","*","","11783","11783","Reese & Boones Ferry"
"","38","Inbound","*","","5790","5790","Terwilliger & Taylors Ferry"
"","38","Outbound","*","","5807","5807","Terwilliger & Taylors Ferry"
"","38","Inbound","*","","12792","12792","SW Columbia & 17th"
"","39","Outbound","*","","199","199","Burlingame Barbur & Bertha"
"","39","*","*","","12731","12731","L & C College Huddleston"
"","41","Outbound","*","","3846","3846","Frontage Rd & Ochoco"
"","41","Inbound","*","","3858","3858","McLoughlin & 17th"
"","41","Outbound","*","","3859","3859","McLoughlin & 17th"
"","41","Inbound","*","","11972","11972","Frontage Rd at OLCC"
"","41","Outbound","*","","11972","11972","Frontage Rd at OLCC"
"","43","Outbound","*","","1147","1147","Corbett & Boundary"
"","43","Outbound","*","","5754","5754","80th & Taylors Ferry"
"","43","Inbound","*","","7915","7915","80th & Taylors Ferry"
"","43","Outbound","*","","9220","9220","Washington Square Transit Center"
"","43","Inbound","*","","12791","12791","SW Jefferson & 5th"
"","43","*","*","","12792","12792","SW Columbia & 16th"
"","43","Outbound","*","","12793","12793","SW Columbia & 6th"
"","44","Inbound","*","","929","929","Capitol Hwy & Sunset"
"","44","Inbound","*","","972","972","Capitol Hwy & 35th"
"","44","*","*","","4431","4431","PCC Sylvania"
"","78","*","*","","4431","4431","PCC Sylvania"
"","45","Inbound","*","","929","929","Capitol Hwy & Sunset"
"","45","Outbound","*","","955","955","Capitol Hwy & Sunset"
"","45","Inbound","*","","972","972","Capitol Hwy & 35th"
"","45","Outbound","*","","5878","5878","Troy & 35th"
"","45","Inbound","*","","8209","8209","Tigard Transit Center"
"","45","Outbound","*","","8209","8209","Tigard Transit Center"
"","45","Outbound","*","","9650","9650","Washington Square Transit Center"
"","45","Inbound","*","","9653","9653","Washington Square Transit Center"
"","45","*","*","","12792","12792","SW Columbia & 17th"
"","46","*","*","","9954","9954","Hillsboro Central Transit Center"
"","47","Outbound","*","","1159","1159","Evergreen & 188th"
"","47","*","*","","2672","2672","Hillsboro Central Transit Center"
"","47","Inbound","*","","3688","3688","Main St & 12th"
"","47","Outbound","*","","9622","9622","Willow Creek/SW 185th Ave"
"","88","Outbound","*","","9622","9622","Willow Creek/SW 185th Ave"
"","47","Inbound","*","","9610","9610","Willow Creek/SW 185th Ave"
"","88","Inbound","*","","9870","9870","Willow Creek/SW 185th Ave"
"","47","Inbound","*","","10033","10033","Orenco / NW 231st Ave"
"","47","Outbound","*","","10042","10042","Orenco / NW 231st Ave"
"","47","Inbound","*","","10056","10056","Evergreen & 188th"
"","48","*","*","","8181","8181","Hillsboro Central Transit Center"
"","48","Inbound","*","","9610","9610","Willow Creek Transit Center"
"","48","Outbound","*","","9621","9621","Willow Creek Transit Center"
"","51","*","*","","2467","2467","Hamilton & Dosch"
"","51","Outbound","*","","4414","4414","Dosch & Patton West"
"","51","Inbound","*","","5006","5006","Salmon & 18th"
"","51","Inbound","*","","5020","5020","SW Salmon & 5th"
"","51","Outbound","*","","6093","6093","Vista & Spring"
"","51","Outbound","*","","6160","6160","SW Washington & 5th"
"","52","Inbound","*","","4429","4429","PCC Rock Creek"
"","52","Outbound","*","","4429","4429","PCC Rock Creek"
"","52","Inbound","*","","7027","7027","185th & West Union Rd"
"","52","Outbound","*","","7026","7026","185th & West Union Rd"
"","52","Inbound","*","","9869","9869","Willow Creek Transit Center"
"","52","Outbound","*","","9871","9871","Willow Creek Transit Center"
"","52","*","*","","9985","9985","Beaverton Transit Center"
"","88","*","*","","9983","9983","Beaverton Transit Center"
