Route,Direction,Service Key,Language,Rule,Source Timepoint,Printed Timepoint,Symbol,Footnote,Sequence,,"NOTE: Routes 89 and 31 have 'invisible' merges, which don't footnote (for 89, see PatternNotes.csv)"
12,Outbound,"Weekday, Sunday",en,MERGE,12787,12781,A,Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 2&32 minutes past the hour for direct connections from other lines.,10
12,Inbound,Saturday,en,FORCE,7746,7767,A,Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.,10
12,Outbound,Saturday,en,MERGE,7639,7626,A,Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.,10
112,Inbound,"Weekday, Saturday",en,FORCE,7639,7626,A,Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.,10
112,Outbound,"Weekday, Saturday",en,MERGE,7746,7767,A,Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.,10
112,Inbound,Sunday,en,FORCE,7639,7626,A,Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 2&32 minutes past the hour.,10
112,Outbound,Sunday,en,MERGE,7746,7767,A,Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 2&32 minutes past the hour for direct connections from other lines.,10
17,Inbound,"Weekday, Saturday, Sunday",en,FORCE,7645,7631,A,Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.,10
17,Outbound,"Weekday, Saturday, Sunday",en,MERGE,7807,7789,A,Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.,10
117,Inbound,"Weekday, Saturday, Sunday",en,FORCE,7807,7789,A,Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.,10
117,Outbound,"Weekday, Saturday, Sunday",en,MERGE,7645,7631,A,Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.,10
19,Inbound,"Weekday, Saturday, Sunday",en,FORCE,7640,7627,A,Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.,10
19,Outbound,"Weekday, Saturday, Sunday",en,MERGE,7746,7767,A,Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.,10
119,Inbound,"Weekday, Saturday, Sunday",en,FORCE,7746,7767,A,Arrives at SOURCE.NAME (Stop ID SOURCE.ID) for direct connections with other lines that leave downtown at 32 minutes past the hour.,10
119,Outbound,"Weekday, Saturday, Sunday",en,MERGE,7640,7627,A,Board at SOURCE.NAME (Stop ID SOURCE.ID).  Buses wait until 32 minutes past the hour for direct connections from other lines.,10
119,Outbound,"Weekday, Saturday, Sunday",en,MERGE,1728,1764,*,Arrives at SOURCE.NAME (Stop ID SOURCE.ID).,10
